run_id,seed,offered_load_mbps,mobility_speed_mps,lifi_fov_deg,branch,n_cpe,rx_packet_fraction,throughput_mbps,mean_delay_ms,mean_jitter_ms,FlowMonitor_reported_loss_ratio,tx_packets_mean,rx_packets_mean,lost_packets_mean,rx_bytes_mean
load10p0_speed0p5_fov40p0_seed1,1,10.0,0.5,40.0,LiFi,3,0.9813351323567207,10.08255683726883,0.08432999999999999,0.0,0.0,10376.0,10182.333333333334,0.0,10711814.666666666
load10p0_speed0p5_fov40p0_seed1,1,10.0,0.5,40.0,NR,3,1.0,10.271311502103794,2.5321275792855307,0.231352066313253,0.0,10376.0,10376.0,0.0,10915552.0
load10p0_speed0p5_fov40p0_seed1,1,10.0,0.5,40.0,WiFi80211ax,3,0.22719095348239526,2.2058098959144896,2413.695769123315,3.412313154191124,0.4056797738370599,10376.0,2357.3333333333335,4209.333333333333,2479914.6666666665
load10p0_speed0p5_fov40p0_seed2,2,10.0,0.5,40.0,LiFi,3,1.0,10.27432576784968,0.08432999999999999,0.0,0.0,10376.0,10376.0,0.0,10915552.0
load10p0_speed0p5_fov40p0_seed2,2,10.0,0.5,40.0,NR,3,1.0,10.271311502103794,2.5321275792855307,0.231352066313253,0.0,10376.0,10376.0,0.0,10915552.0
load10p0_speed0p5_fov40p0_seed2,2,10.0,0.5,40.0,WiFi80211ax,3,0.22725520431765614,2.2059840209033155,2413.081713654823,3.471339868411144,0.40529426882549474,10376.0,2358.0,4205.333333333333,2480616.0
load10p0_speed0p5_fov40p0_seed3,3,10.0,0.5,40.0,LiFi,3,0.8314058082755076,9.588235359257858,0.08432999999999999,0.0,0.0,10376.0,8626.666666666666,0.0,9075253.333333334
load10p0_speed0p5_fov40p0_seed3,3,10.0,0.5,40.0,NR,3,1.0,10.271311502103794,2.5321275792855307,0.231352066313253,0.0,10376.0,10376.0,0.0,10915552.0
load10p0_speed0p5_fov40p0_seed3,3,10.0,0.5,40.0,WiFi80211ax,3,0.22719095348239526,2.2056770006349864,2413.478850982011,3.464726306680722,0.4052621434078643,10376.0,2357.3333333333335,4205.0,2479914.6666666665
load10p0_speed0p5_fov70p0_seed1,1,10.0,0.5,70.0,LiFi,3,1.0,10.27432576784968,0.08432999999999999,0.0,0.0,10376.0,10376.0,0.0,10915552.0
