offered_load_mbps,mobility_speed_mps,lifi_fov_deg,branch,n_seed_runs,n_cpe_per_run,throughput_mbps_mean,throughput_mbps_std_across_seeds,mean_delay_ms_mean,mean_delay_ms_std_across_seeds,mean_jitter_ms_mean,mean_jitter_ms_std_across_seeds,FlowMonitor_reported_loss_ratio_mean,FlowMonitor_reported_loss_ratio_std_across_seeds
2.0,0.5,40.0,LiFi,3,3,1.997085519583924,0.07069338322575229,0.08432999999999999,0.0,0.0,0.0,0.0,0.0
2.0,0.5,40.0,NR,3,3,2.05505422883264,0.0,2.532099140655106,0.0,0.1564879865060241,0.0,0.0,0.0
2.0,0.5,40.0,WiFi80211ax,3,3,2.0544105191887634,0.0002553189112265584,4.7464099305209535,0.03578987226085394,1.9700906041864918,0.0013700444101230602,0.0,0.0
2.0,0.5,70.0,LiFi,3,3,2.0556573143847277,0.0,0.08432999999999999,0.0,0.0,0.0,0.0,0.0
2.0,0.5,70.0,NR,3,3,2.05505422883264,0.0,2.532099140655106,0.0,0.1564879865060241,0.0,0.0,0.0
2.0,0.5,70.0,WiFi80211ax,3,3,2.0544105191887634,0.0002553189112265584,4.7464099305209535,0.03578987226085394,1.9700906041864918,0.0013700444101230602,0.0,0.0
2.0,3.0,40.0,LiFi,3,3,0.9553453921499857,0.22901878857480507,0.06559,0.016229316066920383,0.0,0.0,0.0,0.0
2.0,3.0,40.0,NR,3,3,2.05505422883264,0.0,2.532389687004924,0.0005032410398386349,0.15696226420348058,0.000821473068891414,0.0,0.0
2.0,3.0,40.0,WiFi80211ax,3,3,2.0544144839823404,0.00025912418903187366,4.7473010859067095,0.028446346175316214,1.9698754801237737,0.0018651621016776726,0.0,0.0
2.0,3.0,70.0,LiFi,3,3,1.9852347917789237,0.04199102377079437,0.08433,8.012344526598183e-18,0.0,0.0,0.0,0.0
2.0,3.0,70.0,NR,3,3,2.05505422883264,0.0,2.532389687004924,0.0005032410398386349,0.15696226420348058,0.000821473068891414,0.0,0.0
2.0,3.0,70.0,WiFi80211ax,3,3,2.0544144839823404,0.00025912418903187366,4.7473010859067095,0.028446346175316214,1.9698754801237737,0.0018651621016776726,0.0,0.0
5.0,0.5,40.0,LiFi,3,3,4.991345099459781,0.1771084465879634,0.08432999999999999,0.0,0.0,0.0,0.0,0.0
5.0,0.5,40.0,NR,3,3,5.1362598905092245,0.0,2.532133093549216,0.0,0.20106703116766275,0.0,0.0,0.0
5.0,0.5,40.0,WiFi80211ax,3,3,2.2055380305042394,0.0010932907000663658,1314.0751978686578,0.3951643988154372,2.9076260130189717,0.02176007656848161,0.35447185813415577,6.42508352608484e-05
5.0,0.5,70.0,LiFi,3,3,5.137658074970533,0.0,0.08432999999999999,0.0,0.0,0.0,0.0,0.0
5.0,0.5,70.0,NR,3,3,5.1362598905092245,0.0,2.532133093549216,0.0,0.20106703116766275,0.0,0.0,0.0
5.0,0.5,70.0,WiFi80211ax,3,3,2.2055380305042394,0.0010932907000663658,1314.0751978686578,0.3951643988154372,2.9076260130189717,0.02176007656848161,0.35447185813415577,6.42508352608484e-05
5.0,3.0,40.0,LiFi,3,3,2.386636271158721,0.5737845275047306,0.06559,0.016229316066920383,0.0,0.0,0.0,0.0
5.0,3.0,40.0,NR,3,3,5.1362598905092245,0.0,2.5326654572089438,0.0009220809067517127,0.20136711693764325,0.000519763800234656,0.0,0.0
5.0,3.0,40.0,WiFi80211ax,3,3,2.2062742275512646,0.0006450104184985235,1314.3678511546964,2.6740701747121256,2.9157072700356377,0.003616833705546603,0.35348667866015593,0.0009960606488677822
5.0,3.0,70.0,LiFi,3,3,4.96170761780219,0.10529169515577742,0.08432999999999999,0.0,0.0,0.0,0.0,0.0
5.0,3.0,70.0,NR,3,3,5.1362598905092245,0.0,2.5326654572089438,0.0009220809067517127,0.20136711693764325,0.000519763800234656,0.0,0.0
5.0,3.0,70.0,WiFi80211ax,3,3,2.2062742275512646,0.0006450104184985235,1314.3678511546964,2.6740701747121256,2.9157072700356377,0.003616833705546603,0.35348667866015593,0.0009960606488677822
10.0,0.5,40.0,LiFi,3,3,9.981705988125457,0.35398895818955706,0.08432999999999999,0.0,0.0,0.0,0.0,0.0
10.0,0.5,40.0,NR,3,3,10.271311502103794,0.0,2.5321275792855307,0.0,0.231352066313253,0.0,0.0,0.0
10.0,0.5,40.0,WiFi80211ax,3,3,2.2058236391509305,0.0001539708371806697,2413.4187779200497,0.31140425362591334,3.449459776427663,0.032339425742870555,0.40541206202347296,0.00023240099389842283
10.0,0.5,70.0,LiFi,3,3,10.27432576784968,0.0,0.08432999999999999,0.0,0.0,0.0,0.0,0.0
10.0,0.5,70.0,NR,3,3,10.271311502103794,0.0,2.5321275792855307,0.0,0.231352066313253,0.0,0.0,0.0
10.0,0.5,70.0,WiFi80211ax,3,3,2.2058236391509305,0.0001539708371806697,2413.4187779200497,0.31140425362591334,3.449459776427663,0.032339425742870555,0.40541206202347296,0.00023240099389842283
10.0,3.0,40.0,LiFi,3,3,4.772328669790824,1.1469055139990125,0.06559,0.016229316066920383,0.0,0.0,0.0,0.0
10.0,3.0,40.0,NR,3,3,10.271311502103794,0.0,2.532620551122248,0.0008538522678948425,0.23158710250066933,0.0004070946182223743,0.0,0.0
10.0,3.0,40.0,WiFi80211ax,3,3,2.205818189060837,0.0001530749660774893,2413.4229829123283,0.3078370127202063,3.4493006446260384,0.03285409621191429,0.40541206202347296,0.00023240099389842283
10.0,3.0,70.0,LiFi,3,3,9.922225840260458,0.2100233698745091,0.08432999999999999,8.012344526598183e-18,0.0,0.0,0.0,0.0
10.0,3.0,70.0,NR,3,3,10.271311502103794,0.0,2.532620551122248,0.0008538522678948425,0.23158710250066933,0.0004070946182223743,0.0,0.0
10.0,3.0,70.0,WiFi80211ax,3,3,2.205818189060837,0.0001530749660774893,2413.4229829123283,0.3078370127202063,3.4493006446260384,0.03285409621191429,0.40541206202347296,0.00023240099389842283
20.0,0.5,40.0,LiFi,3,3,19.962463555999317,0.707690691670221,0.08432999999999999,0.0,0.0,0.0,0.0,0.0
20.0,0.5,40.0,NR,3,3,20.541414938461482,0.0,2.5582116010665636,0.0,0.15018624323325785,0.0,0.0,0.0
20.0,0.5,40.0,WiFi80211ax,3,3,2.2055333815740554,0.001319142663671077,1658.6162865724402,1.5932885474597223,4.528519540491823,0.020870209671797493,0.7012710956909106,6.491666480863639e-05
20.0,0.5,70.0,LiFi,3,3,20.547661296787425,0.0,0.08432999999999999,0.0,0.0,0.0,0.0,0.0
20.0,0.5,70.0,NR,3,3,20.541414938461482,0.0,2.5582116010665636,0.0,0.15018624323325785,0.0,0.0,0.0
20.0,0.5,70.0,WiFi80211ax,3,3,2.2055333815740554,0.001319142663671077,1658.6162865724402,1.5932885474597223,4.528519540491823,0.020870209671797493,0.7012710956909106,6.491666480863639e-05
