time_s,cpe_id,distance_m,irradiance_angle_rad,incidence_angle_rad,in_fov,lambertian_order,h_los,received_optical_power_w,signal_current_a,shot_variance_a2,thermal_variance_a2,snr,ber,per,packet_count,corrupted_packets
1.000084e+00,1,2.463149e+00,6.232791e-01,6.232791e-01,1,1.000000e+00,1.883627e-05,1.883627e-04,9.418137e-05,9.543978e-18,4.887497e-21,9.289199e+08,0.000000e+00,0.000000e+00,1,0
1.000084e+00,2,2.044028e+00,2.079307e-01,2.079307e-01,1,1.000000e+00,3.972010e-05,3.972010e-04,1.986005e-04,1.958185e-17,4.887497e-21,2.013717e+09,0.000000e+00,0.000000e+00,1,0
1.000084e+00,3,2.169645e+00,3.980722e-01,3.980722e-01,1,1.000000e+00,3.128984e-05,3.128984e-04,1.564492e-04,1.552982e-17,4.887497e-21,1.575591e+09,0.000000e+00,0.000000e+00,1,0
1.101665e+00,1,2.493133e+00,6.398196e-01,6.398196e-01,1,1.000000e+00,1.794634e-05,1.794634e-04,8.973169e-05,9.116227e-18,4.887497e-21,8.827623e+08,0.000000e+00,0.000000e+00,63,0
1.101665e+00,2,2.052400e+00,2.264535e-01,2.264535e-01,1,1.000000e+00,3.907594e-05,3.907594e-04,1.953797e-04,1.927223e-17,4.887497e-21,1.980235e+09,0.000000e+00,0.000000e+00,63,0
1.101665e+00,3,2.164813e+00,3.927310e-01,3.927310e-01,1,1.000000e+00,3.157011e-05,3.157011e-04,1.578505e-04,1.566453e-17,4.887497e-21,1.590154e+09,0.000000e+00,0.000000e+00,63,0
1.203246e+00,1,2.523783e+00,6.559627e-01,6.559627e-01,1,1.000000e+00,1.709029e-05,1.709029e-04,8.545146e-05,8.704766e-18,4.887497e-21,8.383746e+08,0.000000e+00,0.000000e+00,125,0
1.203246e+00,2,2.061990e+00,2.458253e-01,2.458253e-01,1,1.000000e+00,3.835407e-05,3.835407e-04,1.917703e-04,1.892526e-17,4.887497e-21,1.942714e+09,0.000000e+00,0.000000e+00,125,0
1.203246e+00,3,2.161165e+00,3.886356e-01,3.886356e-01,1,1.000000e+00,3.178383e-05,3.178383e-04,1.589191e-04,1.576726e-17,4.887497e-21,1.601259e+09,0.000000e+00,0.000000e+00,125,0
1.304827e+00,1,2.553753e+00,6.710631e-01,6.710631e-01,1,1.000000e+00,1.630204e-05,1.630204e-04,8.151021e-05,8.325891e-18,4.887497e-21,7.975141e+08,0.000000e+00,0.000000e+00,187,0
1.304827e+00,2,2.070251e+00,2.612550e-01,2.612550e-01,1,1.000000e+00,3.774556e-05,3.774556e-04,1.887278e-04,1.863278e-17,4.887497e-21,1.911086e+09,0.000000e+00,0.000000e+00,187,0
1.304827e+00,3,2.158292e+00,3.853723e-01,3.853723e-01,1,1.000000e+00,3.195337e-05,3.195337e-04,1.597668e-04,1.584875e-17,4.887497e-21,1.610069e+09,0.000000e+00,0.000000e+00,187,0
1.406408e+00,1,2.583259e+00,6.853212e-01,6.853212e-01,1,1.000000e+00,1.556990e-05,1.556990e-04,7.784948e-05,7.973983e-18,4.887497e-21,7.595739e+08,0.000000e+00,0.000000e+00,249,0
1.406408e+00,2,2.077570e+00,2.741220e-01,2.741220e-01,1,1.000000e+00,3.721647e-05,3.721647e-04,1.860824e-04,1.837848e-17,4.887497e-21,1.883586e+09,0.000000e+00,0.000000e+00,249,0
1.406408e+00,3,2.156260e+00,3.830420e-01,3.830420e-01,1,1.000000e+00,3.207401e-05,3.207401e-04,1.603700e-04,1.590673e-17,4.887497e-21,1.616338e+09,0.000000e+00,0.000000e+00,249,0
1.507988e+00,1,2.609145e+00,6.973688e-01,6.973688e-01,1,1.000000e+00,1.496114e-05,1.496114e-04,7.480571e-05,7.681384e-18,4.887497e-21,7.280376e+08,0.000000e+00,0.000000e+00,311,1
1.507988e+00,2,2.084446e+00,2.856190e-01,2.856190e-01,1,1.000000e+00,3.672779e-05,3.672779e-04,1.836390e-04,1.814359e-17,4.887497e-21,1.858187e+09,0.000000e+00,0.000000e+00,311,0
1.507988e+00,3,2.156547e+00,3.833728e-01,3.833728e-01,1,1.000000e+00,3.205691e-05,3.205691e-04,1.602845e-04,1.589851e-17,4.887497e-21,1.615449e+09,0.000000e+00,0.000000e+00,311,0
1.609569e+00,1,2.585668e+00,6.864598e-01,6.864598e-01,1,1.000000e+00,1.551197e-05,1.551197e-04,7.755983e-05,7.946139e-18,4.887497e-21,7.565724e+08,0.000000e+00,0.000000e+00,373,1
1.609569e+00,2,2.073135e+00,2.664093e-01,2.664093e-01,1,1.000000e+00,3.753593e-05,3.753593e-04,1.876796e-04,1.853202e-17,4.887497e-21,1.900190e+09,0.000000e+00,0.000000e+00,373,0
1.609569e+00,3,2.171155e+00,3.997234e-01,3.997234e-01,1,1.000000e+00,3.120285e-05,3.120285e-04,1.560143e-04,1.548801e-17,4.887497e-21,1.571071e+09,0.000000e+00,0.000000e+00,373,0
1.711150e+00,1,2.562982e+00,6.755852e-01,6.755852e-01,1,1.000000e+00,1.606851e-05,1.606851e-04,8.034255e-05,8.213643e-18,4.887497e-21,7.854110e+08,0.000000e+00,0.000000e+00,435,1
1.711150e+00,2,2.063013e+00,2.477936e-01,2.477936e-01,1,1.000000e+00,3.827806e-05,3.827806e-04,1.913903e-04,1.888873e-17,4.887497e-21,1.938763e+09,0.000000e+00,0.000000e+00,435,0
1.711150e+00,3,2.186845e+00,4.163788e-01,4.163788e-01,1,1.000000e+00,3.031696e-05,3.031696e-04,1.515848e-04,1.506220e-17,4.887497e-21,1.525042e+09,0.000000e+00,0.000000e+00,435,0
1.812731e+00,1,2.571689e+00,6.797993e-01,6.797993e-01,1,1.000000e+00,1.585198e-05,1.585198e-04,7.925991e-05,8.109569e-18,4.887497e-21,7.741903e+08,0.000000e+00,0.000000e+00,497,1
1.812731e+00,2,2.058394e+00,2.387632e-01,2.387632e-01,1,1.000000e+00,3.862278e-05,3.862278e-04,1.931139e-04,1.905442e-17,4.887497e-21,1.956680e+09,0.000000e+00,0.000000e+00,497,0
1.812731e+00,3,2.204210e+00,4.338484e-01,4.338484e-01,1,1.000000e+00,2.937285e-05,2.937285e-04,1.468642e-04,1.460841e-17,4.887497e-21,1.475991e+09,0.000000e+00,0.000000e+00,497,0
1.914312e+00,1,2.600056e+00,6.931856e-01,6.931856e-01,1,1.000000e+00,1.517145e-05,1.517145e-04,7.585726e-05,7.782470e-18,4.887497e-21,7.389315e+08,0.000000e+00,0.000000e+00,559,1
1.914312e+00,2,2.057682e+00,2.373373e-01,2.373373e-01,1,1.000000e+00,3.867627e-05,3.867627e-04,1.933813e-04,1.908013e-17,4.887497e-21,1.959461e+09,0.000000e+00,0.000000e+00,559,0
1.914312e+00,3,2.222977e+00,4.517277e-01,4.517277e-01,1,1.000000e+00,2.839341e-05,2.839341e-04,1.419670e-04,1.413764e-17,4.887497e-21,1.425109e+09,0.000000e+00,0.000000e+00,559,0
2.015892e+00,1,2.625749e+00,7.048829e-01,7.048829e-01,0,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.902661e-19,4.887497e-21,0.000000e+00,5.000000e-01,1.000000e+00,621,40
2.015892e+00,2,2.056784e+00,2.355251e-01,2.355251e-01,1,1.000000e+00,3.874388e-05,3.874388e-04,1.937194e-04,1.911263e-17,4.887497e-21,1.962975e+09,0.000000e+00,0.000000e+00,621,0
2.015892e+00,3,2.240508e+00,4.675954e-01,4.675954e-01,1,1.000000e+00,2.751514e-05,2.751514e-04,1.375757e-04,1.371550e-17,4.887497e-21,1.379485e+09,0.000000e+00,0.000000e+00,621,0
2.117473e+00,1,2.634222e+00,7.086557e-01,7.086557e-01,0,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.902661e-19,4.887497e-21,0.000000e+00,5.000000e-01,1.000000e+00,683,102
2.117473e+00,2,2.049361e+00,2.199249e-01,2.199249e-01,1,1.000000e+00,3.930824e-05,3.930824e-04,1.965412e-04,1.938389e-17,4.887497e-21,1.992309e+09,0.000000e+00,0.000000e+00,683,0
2.117473e+00,3,2.247079e+00,4.733541e-01,4.733541e-01,1,1.000000e+00,2.719469e-05,2.719469e-04,1.359734e-04,1.356147e-17,4.887497e-21,1.362840e+09,0.000000e+00,0.000000e+00,683,0
2.219054e+00,1,2.643644e+00,7.128035e-01,7.128035e-01,0,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.902661e-19,4.887497e-21,0.000000e+00,5.000000e-01,1.000000e+00,745,164
2.219054e+00,2,2.043175e+00,2.059419e-01,2.059419e-01,1,1.000000e+00,3.978649e-05,3.978649e-04,1.989324e-04,1.961376e-17,4.887497e-21,2.017168e+09,0.000000e+00,0.000000e+00,745,0
2.219054e+00,3,2.254776e+00,4.799757e-01,4.799757e-01,1,1.000000e+00,2.682527e-05,2.682527e-04,1.341264e-04,1.338391e-17,4.887497e-21,1.343651e+09,0.000000e+00,0.000000e+00,745,0
2.320635e+00,1,2.632084e+00,7.077076e-01,7.077076e-01,0,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.902661e-19,4.887497e-21,0.000000e+00,5.000000e-01,1.000000e+00,807,226
